         8.75x9.0NN               (875x90NN.dat)                               12/24/14                       
                                                                                                              
                                                                                                              
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                        
                                                                                                              
         DEFINITIONS:                                                                                         
         J=V/nD (advance ratio)                                                                               
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                              
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                               
         Pe=Ct*J/Cp (efficiency)                                                                              
         V  (model speed in MPH)                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       1000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0865      0.0521       0.000       0.014       0.016              
         0.4        0.05      0.0741      0.0867      0.0533       0.000       0.014       0.016              
         0.8        0.09      0.1450      0.0869      0.0546       0.000       0.014       0.016              
         1.1        0.14      0.2126      0.0871      0.0560       0.000       0.015       0.016              
         1.5        0.18      0.2767      0.0873      0.0575       0.000       0.015       0.016              
         1.9        0.23      0.3372      0.0875      0.0591       0.000       0.015       0.016              
         2.3        0.27      0.3943      0.0878      0.0608       0.000       0.016       0.016              
         2.6        0.32      0.4479      0.0880      0.0626       0.000       0.016       0.016              
         3.0        0.36      0.4981      0.0881      0.0645       0.000       0.017       0.016              
         3.4        0.41      0.5449      0.0883      0.0664       0.000       0.017       0.016              
         3.8        0.46      0.5884      0.0884      0.0684       0.000       0.018       0.017              
         4.2        0.50      0.6287      0.0885      0.0705       0.000       0.018       0.017              
         4.5        0.55      0.6659      0.0884      0.0726       0.000       0.019       0.017              
         4.9        0.59      0.7001      0.0883      0.0746       0.000       0.019       0.016              
         5.3        0.64      0.7313      0.0876      0.0764       0.000       0.020       0.016              
         5.7        0.68      0.7596      0.0862      0.0776       0.000       0.020       0.016              
         6.0        0.73      0.7848      0.0840      0.0780       0.000       0.020       0.016              
         6.4        0.77      0.8073      0.0810      0.0776       0.000       0.020       0.015              
         6.8        0.82      0.8269      0.0768      0.0761       0.000       0.020       0.014              
         7.2        0.87      0.8437      0.0709      0.0727       0.000       0.019       0.013              
         7.5        0.91      0.8567      0.0642      0.0683       0.000       0.018       0.012              
         7.9        0.96      0.8659      0.0575      0.0634       0.000       0.016       0.011              
         8.3        1.00      0.8710      0.0506      0.0582       0.000       0.015       0.009              
         8.7        1.05      0.8691      0.0437      0.0526       0.000       0.014       0.008              
         9.1        1.09      0.8571      0.0366      0.0467       0.000       0.012       0.007              
         9.4        1.14      0.8311      0.0294      0.0403       0.000       0.010       0.005              
         9.8        1.18      0.7829      0.0222      0.0336       0.000       0.009       0.004              
        10.2        1.23      0.6890      0.0149      0.0265       0.000       0.007       0.003              
        10.6        1.27      0.4891      0.0074      0.0194       0.000       0.005       0.001              
        10.9        1.32      0.0074      0.0001      0.0124       0.000       0.003       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
         PROP RPM =       2000                                                                                
                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0865      0.0521       0.002       0.054       0.065              
         0.8        0.05      0.0738      0.0867      0.0533       0.002       0.055       0.065              
         1.5        0.09      0.1444      0.0869      0.0546       0.002       0.057       0.065              
         2.3        0.14      0.2117      0.0871      0.0560       0.002       0.058       0.065              
         3.0        0.18      0.2756      0.0873      0.0575       0.002       0.060       0.065              
         3.8        0.23      0.3360      0.0875      0.0591       0.002       0.061       0.065              
         4.5        0.27      0.3929      0.0878      0.0608       0.002       0.063       0.066              
         5.3        0.32      0.4464      0.0880      0.0626       0.002       0.065       0.066              
         6.0        0.36      0.4965      0.0881      0.0645       0.002       0.067       0.066              
         6.8        0.41      0.5432      0.0883      0.0664       0.002       0.069       0.066              
         7.5        0.45      0.5867      0.0884      0.0684       0.002       0.071       0.066              
         8.3        0.50      0.6269      0.0885      0.0705       0.002       0.073       0.066              
         9.0        0.54      0.6642      0.0885      0.0725       0.002       0.075       0.066              
         9.8        0.59      0.6984      0.0883      0.0746       0.002       0.078       0.066              
        10.5        0.64      0.7296      0.0877      0.0764       0.003       0.079       0.065              
        11.3        0.68      0.7580      0.0864      0.0776       0.003       0.081       0.065              
        12.0        0.73      0.7834      0.0842      0.0781       0.003       0.081       0.063              
        12.8        0.77      0.8060      0.0812      0.0777       0.003       0.081       0.061              
        13.5        0.82      0.8257      0.0772      0.0763       0.003       0.079       0.058              
