J       CT       CP       eta
0.406   0.0955   0.0619   0.627
0.433   0.0922   0.0616   0.648
0.457   0.0890   0.0612   0.665
0.477   0.0862   0.0606   0.678
0.500   0.0828   0.0599   0.691
0.522   0.0790   0.0586   0.703
0.544   0.0759   0.0577   0.715
0.567   0.0721   0.0563   0.726
0.593   0.0672   0.0543   0.734
0.616   0.0633   0.0525   0.742
0.641   0.0585   0.0503   0.746
0.668   0.0530   0.0474   0.747
0.689   0.0486   0.0449   0.746
0.715   0.0423   0.0413   0.733
0.737   0.0379   0.0385   0.724
0.764   0.0313   0.0344   0.696
0.783   0.0273   0.0318   0.671
0.806   0.0222   0.0286   0.625
0.829   0.0168   0.0251   0.555
0.858   0.0094   0.0198   0.409
0.882   0.0035   0.0153   0.201
0.906   -0.0023   0.0107   -0.192
0.929   -0.0077   0.0060   -1.178
